pcode,gis_name
21AFG001001,Kabul
21AFG001002,Paghman
21AFG001009,Khak-e-Jabar
21AFG001014,Qarabagh
21AFG001015,Surobi
21AFG002001,Mahmod-e- Raqi
21AFG002006,Tagab
21AFG003001,Charekar
21AFG003002,Bagram
21AFG004001,Maydanshahr
21AFG005001,Pul-e- Alam
21AFG005002,Barakibarak
21AFG005005,Muhammadagha
21AFG006001,Jalalabad
21AFG006002,Bihsod
21AFG006003,Surkhrod
21AFG006005,Kama
21AFG006007,Rodat
21AFG006008,Khogyani
21AFG006016,Shenwar
21AFG007001,Mihtarlam
21AFG007002,Qarghayi
21AFG007004,Alingar
21AFG009001,Pul-e- khumri
21AFG009002,Dahana-e-Ghori
21AFG009005,Baghlan-e-Jadid
21AFG010001,Bamyan
21AFG010005,Yakawlang
21AFG011001,Ghazni
21AFG011015,Muqur
21AFG012001,Sharan
21AFG012014,Birmil
21AFG012015,Gyan
21AFG013001,Gardez
21AFG014001,Maton
21AFG014011,Spera
21AFG015001,Asadabad
21AFG015015,Nari
21AFG016002,Waygal
21AFG016003,Wama
21AFG018001,Taluqan
21AFG019001,Kunduz
21AFG019004,Khanabad
21AFG019005,Imamsahib
21AFG019006,Dasht-e-Archi
21AFG020001,Aybak
21AFG020006,Dara-e- Sof-e- Payin
21AFG021001,Mazar-e-Sharif
21AFG021002,Nahr-e- Shahi
21AFG022001,Sar-e-Pul
21AFG023001,Ferozkoh
21AFG023004,Charsada
21AFG023005,Pasaband
21AFG024001,Neli
21AFG025001,Tirenkot
21AFG025002,Dehrawud
21AFG026001,Qalat
21AFG027001,Kandahar
21AFG027002,Arghandab
21AFG027004,Panjwayi
21AFG028001,Shiberghan
21AFG028007,Aqcha
21AFG028008,Fayzabad
21AFG029001,Maymana
21AFG029007,Qaysar
21AFG030001,Lashkargah
21AFG030004,Nahr-e-Saraj
21AFG031001,Qala-e-Naw
21AFG032001,Hirat
21AFG032002,Injel
21AFG032003,Guzara
21AFG033001,Farah
21AFG034001,Zaranj
